16810,1576745809,"Пожалуйста разберитесь уже с курьерской доставкой Вестовой это же просто тихий ужас ,скажите как такая крупная компания как ваша связалось с такой шарашкой, отзывы о них просто все негативные ,мой заказ так же попал в эту курьерскую службу,я заказывал доставку на 19.12.19 но сегодня с утра увидел  уже 19- 20 хотя я ради этой доставки взял выходной на работе,позвонив в компанию Вестовой мне сообщили что мой заказ и во все не передали курьеру,и будет он только 20.12.19,спросил как же так получилось ,оператор ответила что не имеет не какого понятие,подумав что уж раз выходной то можно и самому тогда скататься и забрать свой заказ на склад,звоню оператору второй раз мне говорят забрать можно но завтра🙄  спрашиваю а где вообще находится мой заказ ,ответили что он находится на складе ,говорю так давайте я приеду его и заберу ,но мне отвечают повторно что забрать его я смогу только завтра якобы его надо ещё упаковать,😳😳😳 зачем его упаковавать если я сам за ним планирую приехать я не представляю ,спрашиваю ну а если я приеду через 3-4 часа за заказом ,мне отвечают что заказов очень много и в любом случаи забрать его можно только завтра ,но завтра уже и доставка должна быть, Заказ оплачен и доставка тоже,Как такой крупной компании Яндекс и Сбербанка настоятельно рекомендую прислушаться уже к покупателям и посмотреть отзывы об этой курьерской службе ,так как вы сами из за них теряете и клиентов и имидж и да делал я на сегодня два заказа один доставляется службой стриж и уже пришло и смс оповещения что курьер будет сегодня,а от вестового пока сам не позвонил и не узнал бы что мой заказ даже и не планировали сегодня доставлять хотя опять же дату поставили уже 19-20,огромная просьба кто так же пострадал или недаволен курьерской доставкой Вестовой напишите или поставьте лайк , может так в беру увидят ,сколько людей страдают от этой курьерской службы"
16809,1576745762,"Ребят, пишите жалобы в Роспотребнадзор. Нехотят они работать! Заказ оформил 3 декабря и до сих пор ни денег, ни товара. Ответ у них один - решим проблему, но завтра."
16806,1576741650,"Отвратительный сервис! Заказа нет,денег тоже, одни извинения и ""завтраки""  
ЗПП на вас нет!"
16805,1576739126,Просто дно. Работать не умеют. Отделы не согласуются между собой - должны были позвонить на один номер после 12. Звонят на другой номер в 10. Казалось бы куда проще. Но даже это сделать не в состоянии🤦‍♂️
16804,1576736274,"Хотелось бы получить дополнительные крупный сервис доставки, но мерзкий цвет оформления сайта, навязчивое название, отвратительные голоса в рекламе... Это все выбрано после каких-то исследований?"
16790,1576690129,"Отвратительная контора! Все время заказывали через Беру детские товары, и раньше когда не оплачивали заказ заранее, проблем не возникало. Тут решили при оплате использовать бонусы Спасибо, оставшуюся часть покупки приходилось оплачивать сразу, и тут началось. Первый раз прислали бракованный товар, 2 недели пытались вернуть деньги, в итоге вместо денег получили промокод, ну думаем ладно. Второй заказ оформили с учетом промокода, также оплатили сразу, заказ был большой, они разделили его на три части, и одну не прислали вообще - поставили техническую отмену, сказали, что мы нарушили пользовательское соглашение и что они не будут нам ничего возмещать, т.е. промокод, который по сути - это наши деньги, которые не вернули за прошлый заказ, они присвоили себе. Про нарушение соглашения - как выяснилось, нарушили пункт 6.1, т.е. муж не ответил на звонок, которого не было! Главное две части одного и того же заказа прислали не позвонив, а эту отменили. Сказали - закажите ещё раз, без учета промокода и купона, в два раза дороже! Настоящие Мошенники. Уже пишем заявление в прокуратуру и роспотребнадзор. Не оплачивайте им никогда заказ заранее, в оплаченные заказы они суют брак и потом не хотят возвращать деньги, Сбербанк бесплатно кредитуется за наш счёт. И да, на наши письма они не отвечают и по телефону со старшим не соединяют."
16789,1576688520,"@Беру А у меня даже не отменили, просто не привезли и поставили статус, что он у меня, лучше на  [club131445697|goods.ru]  заказывать, они себе такое не позволяют 😡😡😡😡😡😡🤬🤬🤬🤬"
16788,1576688295,"Обманщики и вруны у вас работают! Как вы уже надоели честное слово, кормить завтраками неделю, обманывать в наглую"
16787,1576683324,"""хороший магазин"" отменили заказ 11731962 со славшись на техн. проблемы в итоге потрачено время и деньги заморожены. Врятли я теперь успею купить подарок до нового года! Супер просто."
16786,1576680839,Корзина опять не работает 🥵😡
16782,1576673040,"Что у вас хорошо это то что конфеты у вас дешевле чем у тех двух, но опять же если заказать только один кг конфет - то за доставку всё равно же прейдётся платить до Омска, если заказать в какой нибудь пункт выдачи. Сколько сейчас будет стоить доставка, и в течении скольких дней товар привезут.

У вас только почему-то нет на сайте в продаже мужской одежды."
16769,1576650212,Добрый день. А на эти выходные планируется раздача беру.бонусов как в прошлые и позапрошлые?
16762,1576646699,А рассрочка планируется ?
16750,1576614917,"Не понимаю зачем стирать комментарии, напишу еще раз. Когда будет возврат средств по заказу 10904208"
16748,1576612442,Почему отменили доставку курьером для Севастополя? Или вы думаете люди огромные посылки сами будут забирать с пункта выдачи и тащить домой? Вы ошибаетесь. Тем самым теряя клиентов еще и в Крыму. И так все жалуются что вы лажовый магазин
16731,1576585177,Сколько еще ждать доставку оплаченного заказа?
16728,1576584244,"отменил заказ, который транспортная компания с пятницы не могла принять в доставку. телевизор за 35,000. так легко стало на душе. больше не будет этих пустых разговоров с оправданиями от маркетплейса и курьерской службы. то телевизор не доставлен, то утерян, то ещё какие байки. 
телефон больше не будет постоянно занят от попыток дозвониться до курьеров. 
2,000 руб разницы не стоят столько потраченных нервов и сил. 
из статуса постоянного клиента перехожу в отряд тех, кто никогда больше не порекомендует вас своим друзьям. 
вы вновь облажались, выбрав бюджетную курьерскую службу. 
осталось дождаться возврата денежных средств...."
16724,1576582094,[club166725802|Беру] бабки мои где алло?
error,error,error
16703,1576579187,"судя по отзывам, отвратительный сервис и нулевая доставка.. а жаль.."
16702,1576579070,"Отменённый неделю назад Заказ № 11517453 сегодня привезли в город и позвонили чтобы согласовать доставку... Как же я рад что всё отменил. Сказать что я в шоке, значит ничего не сказать. Это вообще КАК? Мне не нужна оперативная память с гарантией 6 месяцев! Оф представитель компании Кингстон в письме ответил, что гарантия на их модули не может составлять 6 месяцев! ЗАЧЕМ Вы привезли мне контрафактную подделку от которой я отказался? Ребят бегите из Беру, даже не связывайтесь с этой конторкой. Вас обманут, впарят контрафакт и... и ещё много чего исполнят, неукладывающееся в нормальное понимание работы магазина."
16699,1576574485,"Ребят, кто только планирует что-то заказывать в этой шараге, не делайте этого! 2 недели не могу получить ни товар, ни деньги! Постоянно у них разные причины: то у них задержка с доставкой, то недокомлектация заказа, из-за которой отменили мой заказ, то теперь неделю жду отмены заказа. А деньги, как мне сказали, могут вернуть только после отмены заказа. Если вы хотите что-то купить своим близким в подарок на нг, то лучше купите в обычном магазине!"
16697,1576574133,"Беру, что у вас с горячей линией? Почему нельзя дозвониться?"
16693,1576572146,Уважаемый беру! Как получить бонус на варочную поверхность?
16692,1576571969,"Хочу поблагодарить сервис беру! Заказывала продукты, с купоном и скидками. Разделили на две посылки, одну доставили в согласованный день (доставка dpd), утром, до 14ч, вторую на следующий день от согласованной даты, (доставка стриж). Оба курьера с терминалами, можно было оплатить картой."
error,error,error
16687,1576567417,Вы в личных сообщениях не отвечаете?
16680,1576561795,Почему в некоторые города Крыма доставка 1000р почти независимо от суммы заказа.
